File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,41.50,102.66,36985.64,91482.97
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,41.42,102.38,36908.22,91237.76
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,39.29,95.65,35012.75,85235.10
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,38.94,94.52,34696.55,84233.68
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,35.07,82.30,31256.33,73338.21
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,34.98,81.99,31171.05,73068.14
CZ16/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,34.94,81.87,31136.25,72957.92

File Name,Total (kWh),Heating (kWh),Cooling (kWh),Interior Lighting (kWh),Exterior Lighting (kWh),Interior Equipment (kWh),Exterior Equipment (kWh),Fans (kWh),Pumps (kWh),Heat Rejection (kWh),Humidification (kWh),Heat Recovery (kWh),Water Systems (kWh),Refrigeration (kWh),Generators (kWh),Heating Elec (kWh),Cooling Elec (kWh),Heating NG (kWh),Cooling NG (kWh),Interior Equipment Elec (kWh),Interior Equipment NG (kWh)
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,22896.989999999998,1293.37,1445.66,1557.5,457.71,10338.53,0.0,73.25,0.0,0.0,0.0,0.0,7730.97,0.0,0.0,1293.37,1445.66,0.00,0.00,8268.27,2070.26
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,22781.14,1293.37,1329.8,1557.5,457.71,10338.53,0.0,73.25,0.0,0.0,0.0,0.0,7730.97,0.0,0.0,1293.37,1329.80,0.00,0.00,8268.27,2070.26
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,22398.85,803.16,1086.48,1557.5,457.71,10338.53,0.0,424.6,0.0,0.0,0.0,0.0,7730.86,0.0,0.0,803.16,1086.48,0.00,0.00,8268.27,2070.26
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,22262.489999999998,751.22,1002.07,1557.5,457.71,10338.53,0.0,424.6,0.0,0.0,0.0,0.0,7730.86,0.0,0.0,751.22,1002.07,0.00,0.00,8268.27,2070.26
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,21663.68,521.85,876.79,1557.5,457.71,10338.53,0.0,180.16,0.0,0.0,0.0,0.0,7731.14,0.0,0.0,521.85,876.79,0.00,0.00,8268.27,2070.26
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,21596.52,510.67,820.81,1557.5,457.71,10338.53,0.0,180.16,0.0,0.0,0.0,0.0,7731.14,0.0,0.0,510.67,820.81,0.00,0.00,8268.27,2070.26
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,21570.57,505.85,799.68,1557.5,457.71,10338.53,0.0,180.16,0.0,0.0,0.0,0.0,7731.14,0.0,0.0,505.85,799.68,0.00,0.00,8268.27,2070.26
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,34951.8,3511.79,4572.49,1774.64,457.71,16701.91,0.0,221.27,0.0,0.0,0.0,0.0,7711.99,0.0,0.0,3511.79,4572.49,0.00,0.00,13440.28,3261.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,34585.37,3511.79,4206.05,1774.64,457.71,16701.91,0.0,221.27,0.0,0.0,0.0,0.0,7711.99,0.0,0.0,3511.79,4206.05,0.00,0.00,13440.28,3261.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,33523.04,2131.03,3447.66,1774.64,457.71,16701.91,0.0,1298.14,0.0,0.0,0.0,0.0,7711.93,0.0,0.0,2131.03,3447.66,0.00,0.00,13440.28,3261.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,33108.68,1984.54,3179.8,1774.64,457.71,16701.91,0.0,1298.14,0.0,0.0,0.0,0.0,7711.93,0.0,0.0,1984.54,3179.80,0.00,0.00,13440.28,3261.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,31505.12,1509.72,2797.82,1774.64,457.71,16701.91,0.0,551.26,0.0,0.0,0.0,0.0,7712.05,0.0,0.0,1509.72,2797.82,0.00,0.00,13440.28,3261.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,31296.87,1477.37,2621.91,1774.64,457.71,16701.91,0.0,551.26,0.0,0.0,0.0,0.0,7712.05,0.0,0.0,1477.37,2621.91,0.00,0.00,13440.28,3261.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,31216.56,1463.43,2555.54,1774.64,457.71,16701.91,0.0,551.26,0.0,0.0,0.0,0.0,7712.05,0.0,0.0,1463.43,2555.54,0.00,0.00,13440.28,3261.63
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,26366.93,3378.1,2479.82,1557.5,457.71,10338.53,0.0,153.31,0.0,0.0,0.0,0.0,8001.96,0.0,0.0,3378.10,2479.82,0.00,0.00,8268.27,2070.26
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,26168.199999999997,3378.1,2281.09,1557.5,457.71,10338.53,0.0,153.31,0.0,0.0,0.0,0.0,8001.96,0.0,0.0,3378.10,2281.09,0.00,0.00,8268.27,2070.26
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,25266.63,2155.4,1875.66,1557.5,457.71,10338.53,0.0,879.89,0.0,0.0,0.0,0.0,8001.94,0.0,0.0,2155.40,1875.66,0.00,0.00,8268.27,2070.26
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,24996.550000000003,2031.06,1729.93,1557.5,457.71,10338.53,0.0,879.89,0.0,0.0,0.0,0.0,8001.94,0.0,0.0,2031.06,1729.93,0.00,0.00,8268.27,2070.26
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,23481.41,1232.26,1536.1,1557.5,457.71,10338.53,0.0,357.42,0.0,0.0,0.0,0.0,8001.89,0.0,0.0,1232.26,1536.10,0.00,0.00,8268.27,2070.26
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,23358.190000000002,1205.89,1439.24,1557.5,457.71,10338.53,0.0,357.42,0.0,0.0,0.0,0.0,8001.89,0.0,0.0,1205.89,1439.24,0.00,0.00,8268.27,2070.26
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,23310.3,1194.54,1402.7,1557.5,457.71,10338.53,0.0,357.42,0.0,0.0,0.0,0.0,8001.89,0.0,0.0,1194.54,1402.70,0.00,0.00,8268.27,2070.26
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,43404.99,8577.41,7480.68,1774.64,457.71,16701.91,0.0,430.09,0.0,0.0,0.0,0.0,7982.54,0.0,0.0,8577.41,7480.68,0.00,0.00,13440.28,3261.63
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,42805.49,8577.41,6881.18,1774.64,457.71,16701.91,0.0,430.09,0.0,0.0,0.0,0.0,7982.54,0.0,0.0,8577.41,6881.18,0.00,0.00,13440.28,3261.63
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,40484.729999999996,5394.91,5672.7,1774.64,457.71,16701.91,0.0,2500.4,0.0,0.0,0.0,0.0,7982.46,0.0,0.0,5394.91,5672.70,0.00,0.00,13440.28,3261.63
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39717.81,5068.72,5231.96,1774.64,457.71,16701.91,0.0,2500.4,0.0,0.0,0.0,0.0,7982.46,0.0,0.0,5068.72,5231.96,0.00,0.00,13440.28,3261.63
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,35976.630000000005,3365.16,4669.87,1774.64,457.71,16701.91,0.0,1024.62,0.0,0.0,0.0,0.0,7982.71,0.0,0.0,3365.16,4669.87,0.00,0.00,13440.28,3261.63
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,35614.96,3293.09,4380.27,1774.64,457.71,16701.91,0.0,1024.62,0.0,0.0,0.0,0.0,7982.71,0.0,0.0,3293.09,4380.27,0.00,0.00,13440.28,3261.63
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,35474.64,3262.04,4270.99,1774.64,457.71,16701.91,0.0,1024.62,0.0,0.0,0.0,0.0,7982.71,0.0,0.0,3262.04,4270.99,0.00,0.00,13440.28,3261.63
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,25786.7,3752.14,1228.06,1557.5,457.71,10338.53,0.0,123.69,0.0,0.0,0.0,0.0,8329.06,0.0,0.0,3752.14,1228.06,0.00,0.00,8268.27,2070.26
