File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ11/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,45.35,97.01,31397.17,67160.66
CZ11/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,43.74,91.94,30278.49,63653.02
CZ11/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,43.31,90.58,29981.33,62711.90
CZ11/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,42.89,89.25,29690.75,61791.65
CZ11/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,42.73,88.74,29579.51,61439.34
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,51.52,115.89,35665.09,80232.63
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,50.93,114.04,35259.60,78948.45
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,48.52,106.38,33588.92,73650.80
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,47.75,103.97,33061.15,71979.37
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,43.53,90.56,30135.22,62696.19
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,43.17,89.44,29889.50,61917.98
CZ12/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,43.04,89.00,29794.10,61615.87
CZ12/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,41.66,84.63,28840.62,58591.85
CZ12/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,41.36,83.69,28634.57,57939.27
CZ12/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,41.08,82.79,28437.86,57316.29
CZ12/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,40.97,82.44,28361.93,57075.84
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,54.20,125.98,37522.06,87220.89
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,53.22,122.88,36842.42,85068.47
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,51.18,116.43,35435.03,80604.10
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,50.18,113.26,34742.95,78412.29
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,45.66,98.92,31612.24,68486.15
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,45.12,97.20,31235.81,67293.97
CZ13/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,44.91,96.54,31091.54,66837.09
CZ13/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,43.48,92.08,30098.88,63746.97
CZ13/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,43.03,90.66,29789.08,62765.84
CZ13/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,42.59,89.27,29483.96,61799.52
CZ13/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,42.42,88.73,29367.43,61430.47
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,57.18,136.60,39589.39,94571.43
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,56.47,134.33,39093.53,93001.04
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,52.65,122.21,36448.39,84610.45
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,51.57,118.79,35700.49,82241.84
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,45.57,99.73,31546.76,69047.80
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,45.10,98.25,31221.61,68018.08
CZ14/DMo&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,44.91,97.67,31094.80,67616.46
CZ14/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,42.67,90.50,29539.34,62654.01
CZ14/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,42.28,89.27,29271.03,61804.29
CZ14/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,41.91,88.11,29017.52,61001.43
CZ14/DMo&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,41.77,87.66,28919.33,60690.45
